*** SPRNt Results. Netlist: "m9.spt" Epoch: "1970-01-01T00:00:00Z" Reqested Tstop: 1 hr 40 min
*** id time(min) flow(m3/s) wet_a(m2) depth(m) surf_elev(m)
2  10.00 1.373346e+00 1.177377e+02 1.437775e+01 7.176978e+02
3  10.00 1.246914e+00 5.358972e+01 1.105743e+01 7.176974e+02
4  10.00 1.160711e+00 3.766669e+01 7.736898e+00 7.176969e+02
5  10.00 1.078906e+00 1.416338e+01 4.415420e+00 7.176954e+02
6  10.00 1.048115e+00 1.500001e+00 1.000001e+00 7.176000e+02
*** id time(min) flow(m3/s) wet_a(m2) depth(m) surf_elev(m)
1  11.00 1.550000e+00 9.316622e+01 1.770000e+01 7.177000e+02
2  11.00 1.412215e+00 1.177674e+02 1.437969e+01 7.176997e+02
3  11.00 1.274666e+00 5.360121e+01 1.105936e+01 7.176994e+02
4  11.00 1.180862e+00 3.768335e+01 7.738804e+00 7.176988e+02
5  11.00 1.091818e+00 1.417344e+01 4.417276e+00 7.176973e+02
6  11.00 1.058294e+00 1.500001e+00 1.000001e+00 7.176000e+02
*** id time(min) flow(m3/s) wet_a(m2) depth(m) surf_elev(m)
1  12.00 1.600000e+00 9.317867e+01 1.770209e+01 7.177021e+02
2  12.00 1.451500e+00 1.177995e+02 1.438178e+01 7.177018e+02
3  12.00 1.303210e+00 5.361359e+01 1.106143e+01 7.177014e+02
4  12.00 1.201909e+00 3.770135e+01 7.740864e+00 7.177009e+02
5  12.00 1.105580e+00 1.418433e+01 4.419287e+00 7.176993e+02
6  12.00 1.069259e+00 1.500001e+00 1.000001e+00 7.176000e+02
*** id time(min) flow(m3/s) wet_a(m2) depth(m) surf_elev(m)
1  13.00 1.650000e+00 9.319199e+01 1.770433e+01 7.177043e+02
2  13.00 1.491063e+00 1.178339e+02 1.438401e+01 7.177040e+02
3  13.00 1.332300e+00 5.362686e+01 1.106366e+01 7.177037e+02
4  13.00 1.223641e+00 3.772068e+01 7.743075e+00 7.177031e+02
5  13.00 1.120110e+00 1.419607e+01 4.421452e+00 7.177015e+02
